City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
653,Urucui,BR,81.75,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
654,Georgiyevka,KZ,59.04,moderate rain,43.0369,74.7114,Gostinitsa Imperiya
655,Saint-Augustin,CA,27.73,overcast clouds,51.226,-58.6502,
656,Gazli,UZ,59.94,overcast clouds,40.1333,63.45,
657,Vavozh,RU,34.41,light snow,56.7751,51.931,Tri Medvedya
658,Pontianak,ID,75.18,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
659,San Ramon,US,67.82,few clouds,37.7799,-121.978,San Ramon Marriott
660,Winslow,US,84.38,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
661,Hami,CN,61.05,overcast clouds,42.8,93.45,Laoyutang Resort
662,Bima,ID,75.69,overcast clouds,-8.4667,118.7167,Lambitu Hotel
663,Noumea,NC,80.01,clear sky,-22.2763,166.4572,Hôtel Le Lagon
664,Dwarka,IN,79.48,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
665,Morant Bay,JM,78.42,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
666,Falmouth,GB,47.3,broken clouds,50.1544,-5.0711,The Falmouth Hotel
667,Estevan,CA,34.14,light snow,49.1334,-102.9842,"Motel 6 Estevan, SK"
668,Ntungamo,UG,64.38,light rain,-0.8833,29.65,The Crested Crane Bwindi Hotel
669,Northam,GB,50.4,broken clouds,51.0333,-4.2167,Durrant House Hotel
670,Bontang,ID,74.7,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
671,Sapouy,BF,89.26,broken clouds,11.5544,-1.7736,Auberge St Louis
672,Biak,ID,76.44,overcast clouds,-0.9131,122.8766,Penginapan Kim
673,Lensk,RU,18.32,overcast clouds,60.7253,114.9278,ТинОрС
674,Puerto Escondido,MX,88.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
675,Sturgis,US,44.4,overcast clouds,41.7992,-85.4192,Best Western Plus Howe Inn
676,Salinopolis,BR,80.06,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
677,Yeniseysk,RU,32.49,light snow,58.4497,92.1703,"""Domino"""
678,Sao Jose Da Coroa Grande,BR,79.29,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
679,Olafsvik,IS,42.13,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
680,Yamada,JP,42.57,clear sky,39.4667,141.95,Iroha-ya Inn
681,Tucumcari,US,83.95,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
682,Jablah,SY,66.49,broken clouds,35.3614,35.9256,بستان صالح
683,Hibbing,US,41.58,clear sky,47.4272,-92.9377,Americas Best Value Inn Hibbing
684,Taoudenni,ML,86.04,broken clouds,22.6783,-3.9836,
685,Conakry,GN,79.38,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
686,Cihuatlan,MX,80.28,few clouds,19.2366,-104.5651,Hotel Posada Agua Escondida
687,Nuuk,GL,16.41,scattered clouds,64.1835,-51.7216,Vandrehuset
688,Payakumbuh,ID,69.89,light rain,-0.2202,100.6308,Dalimo Homestay
689,Kyra,RU,37.31,light rain,49.5776,111.9753,
690,Zhuhai,CN,67.78,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
691,Rondonopolis,BR,80.06,clear sky,-16.4708,-54.6356,Serras Hotel
692,Wick,GB,42.85,few clouds,58.4333,-3.0833,Mackays Hotel
693,Otukpo,NG,78.26,overcast clouds,7.1913,8.1329,Queen s Hotel
694,Berlevag,NO,35.6,broken clouds,70.8578,29.0864,Kvitbrakka
695,Ystad,SE,43.54,scattered clouds,55.4297,13.8204,Continental du Sud
696,Concordia,AR,75.27,clear sky,-31.393,-58.0209,Palmar Hotel Casino
697,Lyubytino,RU,36.48,few clouds,58.8122,33.3922,"Gostinitsa ""U Mikhalycha"""
698,Ekhabi,RU,31.93,overcast clouds,53.5102,142.9671,
699,Lacey,US,53.82,scattered clouds,47.0343,-122.8232,"Candlewood Suites Olympia/Lacey, an IHG Hotel"
700,Camalu,MX,71.85,overcast clouds,30.85,-116.0667,La Cueva del Pirata
701,Nishihara,JP,67.28,clear sky,26.1842,127.7558,Minshuku Agaihama
702,Thinadhoo,MV,83.44,broken clouds,0.5333,72.9333,
703,Bastia,FR,60.6,broken clouds,42.6667,9.3333,Hotel Santa Maria
704,Moindou,NC,74.95,clear sky,-21.6924,165.677,Equi-lodge de Moindou
705,Bay Roberts,CA,35.04,overcast clouds,47.5999,-53.2648,Stonewall Inn
706,Amapa,BR,75.36,overcast clouds,1.0,-52.0,
707,Caxito,AO,75.88,heavy intensity rain,-8.5785,13.6643,
